RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31
470,200,Davis County,county,UT,UT,"Ogden-Clearfield, UT",49,11,1008.239888645703,1012.8624978276584,1018.5738424906676,1024.104314572708,1027.1712370554849,1027.063423566217,1031.503161439657,1038.120654641574,1044.318205797324,1046.5222370772935,1039.0236313032815,1036.1140948979546,1040.234560183727,1062.031961492232,1072.951350843717,1087.8762467826905,1092.5614961001909,1101.5781397273934,1108.8467032533033,1106.3667130613237,1112.273093337399,1103.942307057578,1109.2647909310488,1102.7989693542054,1113.852529682635,1122.1785249618988,1138.8965807740406,1152.5263660097835,1158.1392369678351,1170.1074520784498,1179.3006912100736,1192.4575781177662,1195.784541971962,1189.206389450042,1178.9627276201577,1182.4635637911354,1188.118840115848,1205.8955014855835,1205.537160784479,1224.8459106108396,1227.8628465794482,1248.5599957249844,1247.0377275864255,1256.9644912441197,1259.6812463107942,1266.055534156042,1267.6826962523592,1272.1518923611509,1236.5009667410218,1239.494047887002,1245.7178908651233,1296.396055805984,1313.6697676686251,1327.9825745903668,1335.458075478979,1337.8142811346534,1330.7685220317344,1329.7089165178636,1324.0172772480148,1334.1758030590872,1334.2117245920856,1342.922905002919,1346.6204694563417,1354.9298592501063,1361.362207102553,1374.1526010402565,1389.421094733711,1403.5528914461577,1400.769270722598,1405.3616242246685,1421.4365318335222,1426.9125774758534,1443.6327338189396,1438.8061951819252,1453.3373518840913,1463.4823034482563,1497.4933132040185,1539.9850991357705,1581.1381667817852,1604.5964423668704,1619.1498189675997,1627.6984569890574,1638.0430234267849,1670.233156096018,1690.9804116762573,1723.0418728139737,1728.718283558883,1736.3928956697052,1751.0243910614229,1784.9025047200278,1807.1037902446883,1806.9220305450365,1778.550918108991,1775.6364020822275,1772.4361786768934,1772.0385329842304,1770.2071704628354,1781.8142594655822,1804.531137079956,1821.9503352995068,1839.2698449805648,1845.354122927791,1852.324565518756,1849.6245321253296,1840.630390379964,1840.4330261759,1824.0022360063133,1821.8693734509973,1815.9363834197309,1816.593777780236,1823.941308199545,1834.650448314404,1885.1112575512568,1903.6852713656567,1919.1301466421464,1889.389089239147,1881.0323295771373,1863.6512013610477
3200,201,Westmoreland County,county,PA,PA,"Pittsburgh, PA",42,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724.7941287803474,719.3580021514924,725.4990762820197,723.7176022623863,728.3416063976138,727.5900273519534,730.6881076476484,735.01093536987,745.7939957570802,741.6869786413987,741.7422751444608,738.7504612279964,745.2434039649346,759.0956027908187,761.547590915522,760.805286268784,753.7265028774212,758.8317231418429,764.1640150208693,763.6996472243568,762.2919157050029,764.394274663207,769.2482515990718,770.5914573553639,775.8731221789478,783.3349589574073,794.3049569021323,794.5172574254764,790.8216885975169,784.7339832727122,783.6279707481918,781.488948546607,790.5309777866265,788.8730014315804,798.3923663107402,796.6740057640778,808.2256232174406,818.2064663853918,823.1257738396888,830.3392985482831,828.9242266991731,841.2137080392687,850.1249851592254,858.1582819951506,850.3170539686665,850.786218444772,847.5893068497886,851.6312001489612,856.5954835021499,856.6791654953622,864.1394921372515,874.2370371236424,889.8762153334861,900.4129970712665,904.8717716064868,915.1616307212548,922.2285616970933,926.5820690051044,932.1811917140492,930.4979396647088,926.7014732458742,918.1745772594486,928.2737838726342,933.111552093476,944.8138135013978,942.6595181024971,951.2706055002228,953.6815684316484,966.7785933355624,971.5851016192282,977.9768391324938,970.764265362232,977.380352591779,971.9102866751532,981.5646136021292,978.9677527969836,995.8070446546164,1001.9768878642384,1011.940359684036,1017.2214662745424,1021.093180701032,1015.4575163398694
1849,202,Larimer County,county,CO,CO,"Fort Collins, CO",8,69,1237.9175257328816,1258.9901703547089,1285.82176353102,1294.1515733715758,1284.700511856413,1302.374881396602,1305.6313415790935,1321.0759824045183,1305.958147163127,1314.3258110005554,1299.438423300492,1306.059497875013,1314.350648726172,1335.5693267683096,1353.185657817999,1355.9075441012694,1362.6571125339246,1368.0848991109904,1371.7718981366936,1363.0107191900413,1347.016933952615,1329.4479017566428,1316.774159424284,1320.7599369884306,1332.787038157684,1360.596003942684,1381.8610198959186,1406.3066767255816,1413.6910799933062,1416.51966736775,1411.0754018086154,1403.3893838907188,1394.0382377247372,1381.742353167013,1380.5532899899515,1367.7772140764678,1386.602502342033,1405.7366111628824,1436.3282078855952,1447.308255230709,1455.922851551157,1459.770197828573,1461.6135834483398,1455.1968990328664,1446.8431862027658,1442.1226870262728,1441.0868338863731,1455.8772804929415,1467.7620389212157,1488.042812562568,1499.4379061347777,1505.694988210542,1507.4894870639887,1509.1959438402337,1508.8035447352922,1501.6225949578743,1496.5037786582552,1488.7860617279498,1482.4955614395828,1482.547123884247,1500.2073738440683,1519.4060274515227,1533.4975378629897,1532.1357618347242,1534.1585447324446,1535.457952539327,1537.802821822093,1536.7570685641767,1533.7156380921674,1534.3472387126806,1529.5960989198916,1535.5300455779295,1531.0473199492474,1553.7511440638923,1564.9405991934475,1592.600978141318,1604.459601692402,1631.54017551868,1652.885255045633,1678.1485331956428,1688.4880922955176,1706.5303256624331,1706.2931798571942,1713.1278812754476,1716.1721331066738,1732.3549003097448,1744.4862616202083,1756.6486709725311,1772.0700215631468,1795.521575344561,1815.590207917851,1830.0960965061752,1831.0366327142883,1839.7382619805064,1833.8141683467145,1831.3851371565945,1829.8709447263243,1850.9505068883504,1873.93468592238,1884.4244822736268,1888.6659512432152,1899.5192767717551,1911.110036401695,1917.7428681101464,1913.7688847510813,1899.397043186439,1909.525439181732,1909.660074855808,1925.600463926593,1933.19311951264,1947.801182490524,1964.614169207524,1970.922764838824,1991.5462539509836,2000.7209103854852,1995.7508119341312,1974.828631768229,1952.945119406403
1272,203,Nueces County,county,TX,TX,"Corpus Christi, TX",48,355,1079.522718261578,1081.267189098573,1091.866671669754,1095.8739972104802,1101.3148886116796,1101.172551577451,1107.8353538774238,1106.0775399526617,1101.0525284682658,1101.1388239558592,1104.047692060358,1104.688574628448,1108.511097736017,1115.1069945067168,1113.6508676766796,1113.8232282089746,1110.2373396459502,1112.5267144241664,1116.8036923004934,1113.527826875355,1117.952111150971,1109.4073554019978,1109.3552812830496,1101.932407318611,1099.5698532519314,1103.2483470642592,1109.8992848063788,1121.3585964954698,1125.34019114219,1131.1342439738628,1125.9343177847882,1125.8797635286694,1132.049270149825,1139.7151158575507,1143.5888271537483,1139.373462366463,1139.4319684791003,1138.780607740416,1143.8240234496743,1145.018694797921,1160.2822396741317,1172.716625315178,1181.9155893430293,1170.1616927405871,1163.0630737425824,1161.935472129111,1167.767578703244,1159.9156674483006,1151.37464043676,1153.3391532763449,1158.6956830978788,1165.7800113628264,1166.9614991765593,1176.646553166341,1182.54410153797,1185.1491633003675,1187.192424534009,1186.8741803478713,1187.7365961974006,1183.354081614556,1190.6387638337144,1200.6172084845068,1205.418706333346,1203.0022511139816,1194.082229090934,1206.6726161118067,1220.456869494614,1242.9358990184353,1246.292980047278,1248.020710672544,1245.7125580875052,1244.3637714958177,1238.9358155544792,1234.8076291885418,1257.480339619021,1281.872744367099,1309.2702847989867,1330.478261749731,1361.5457488109153,1393.241676748457,1393.74791242248,1385.0795221155386,1379.401969049797,1381.251381361349,1379.095280427657,1373.5526760157866,1374.6752646136893,1391.6537379128767,1409.003282755097,1428.9355114869688,1432.0650839289835,1433.9721985313606,1427.0017472607794,1423.589245165293,1410.2670756973057,1394.408648296672,1389.733948581586,1397.2154873691898,1413.046987392585,1430.0073803245566,1448.5929641048133,1458.075972193701,1458.729894856438,1448.3124229203602,1444.758789365848,1445.0880285761743,1444.7282529816623,1439.3136965731094,1436.8929436839812,1439.0640929677768,1443.2184483501646,1442.582530022328,1448.174307396849,1450.7176727987069,1456.0689476988148,1461.447384357237,1464.8985212360933,1455.1542898636917
1670,204,Douglas County,county,CO,CO,"Denver-Aurora-Lakewood, CO",8,35,1539.3036090113274,1560.4548673298766,1571.5178155190135,1585.2250384436452,1600.4540445326124,1624.1884246114082,1629.6684439945964,1637.9440024396574,1623.8253062930974,1616.0633392596317,1612.7296032991685,1611.7880684905886,1618.044183994485,1623.37096673235,1637.6878309007934,1650.1776494650885,1660.3385570200155,1665.4652177015512,1658.7199440544643,1643.596753485948,1637.199282032823,1625.478315911089,1626.1806747227845,1618.6678887185485,1626.2898321592115,1638.8420616766427,1659.5790321708848,1687.0795121268525,1705.4471031790804,1718.3994206499876,1721.2136581252648,1718.9963714399569,1708.541912178136,1684.952992839787,1681.1037339162046,1681.773677771611,1694.2554297241925,1698.9877306299354,1713.736230470343,1729.1974272685718,1742.6624462285524,1746.0049182431767,1747.082363001204,1745.781746062377,1740.1576538349063,1731.8340564197993,1730.225073848027,1732.5298427710004,1738.931932317961,1748.5295993913342,1765.278437990571,1777.3327966888255,1783.8880010536302,1788.4054350197964,1789.9149780179987,1790.502039684688,1782.9154173116467,1788.6582883152826,1786.4728831452794,1785.8667991292953,1782.9262577440682,1785.3451874545967,1791.042982071298,1789.6126855326972,1785.2651585156489,1788.7115078410568,1803.2347749685032,1819.6272838023265,1826.3837548206047,1820.2778604944203,1820.2680373451155,1826.2620158206869,1833.8149378979565,1836.7277753592969,1848.0936838265943,1878.6053533909064,1924.6231611368264,1966.4913952444788,2008.7587930035832,2044.2696745621504,2065.0056592628125,2064.8638640349213,2046.125631368063,2030.6309584706212,2033.9645170094843,2053.0429170214497,2094.013055752557,2127.281823839158,2167.8958098239223,2193.287840629604,2212.7063861065967,2207.01612570532,2197.054607313691,2189.351819435919,2167.774396830701,2161.7027434687866,2155.8991389490925,2182.3949906936828,2206.616562123409,2225.4579650655864,2241.6242064853486,2251.8076727562952,2256.588979290058,2268.404969684109,2267.283888055426,2270.233586859988,2260.8426371332903,2250.49817984231,2246.1727896942616,2240.851750035984,2261.3145423973087,2275.9392826423486,2302.8276455369605,2312.5019773715467,2327.2079842556627,2326.0633108280445,2321.4298129663644,2294.4970876880675
2702,205,Galveston County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,167,1077.3863990883976,1079.3743805453728,1095.0452165146098,1108.6104709962474,1115.5104366156502,1109.15569698719,1121.8643656303516,1123.4027777024694,1133.609392191354,1126.7765889553948,1118.0385462805211,1116.8145944786836,1119.2945532833896,1142.8092274888995,1148.2075722880463,1159.1560923751606,1170.613675519193,1185.7713678549514,1191.5566917862009,1179.162044814885,1174.6539420938852,1167.4183958414403,1163.2780020965372,1158.29738935745,1167.9238678869135,1179.0174848677818,1189.8500854274569,1198.979591054982,1211.0940348162535,1218.4122526780202,1213.257302165401,1204.8563861363432,1221.160936817624,1229.204786628708,1246.240887345871,1237.6454509945825,1249.4795055156187,1257.1101482814204,1270.2757417416028,1275.3329031063972,1281.1301486647749,1287.8190733986676,1289.2031001857506,1286.9638726606422,1285.237686032525,1286.2230530876989,1291.971338333453,1292.9694879224794,1300.1042141307437,1314.1096621396362,1315.7469638413213,1322.6488394450766,1318.89767283909,1325.6869442394034,1326.956783280612,1327.8845127877914,1324.8638978145625,1323.0707963689267,1325.6876299509936,1325.9238110807653,1327.9327791973103,1334.8789665657273,1343.5936400806258,1341.2690680191315,1328.895933744058,1331.7426264800897,1345.4329004749663,1360.302742012498,1351.87985216351,1345.911558221904,1348.0459922323869,1352.187657104644,1363.65341985368,1358.321978153171,1381.427334232489,1390.0116383046309,1412.4437384808402,1428.2673921151177,1447.6108080899205,1473.0402744385783,1490.1803989435025,1499.6896598533128,1503.3109642352151,1508.434750272459,1522.0107315501737,1531.3709777713236,1546.7347951657182,1564.011428763975,1581.8034452835495,1596.9710153290232,1610.0092120304337,1623.3858099272156,1615.0508002698768,1619.1625859880378,1606.3099692159788,1611.358556440382,1604.6487285127366,1612.801112780031,1628.3905059034116,1637.050599338335,1658.910693536974,1674.284556305124,1698.120583990058,1698.273679034076,1685.8056135201475,1668.8765933965149,1662.0509042900962,1666.7379973997722,1674.793671488346,1684.739364220759,1689.2483701811252,1690.7152239446098,1696.8450568186283,1707.3485423948396,1717.3109580336577,1718.201019374538,1715.909966444474,1719.846957671958
563,206,Horry County,county,SC,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",45,51,928.554465997039,926.4795306988312,921.9112843158696,932.1927014945423,951.3038462113572,963.5580640319146,984.031950380027,984.442622076823,987.9014105167536,989.5673797232604,985.6980307167024,984.5049840059428,980.9353616649628,981.771148105598,985.909035419467,980.7829619905413,978.6293702636136,992.4503198114744,1010.148974418809,1027.632977320891,1031.472535366865,1027.7027996444017,1024.943453030973,1017.0809768891444,1030.718804010446,1038.2637966250877,1041.3193331406064,1042.7238290295732,1054.2129607621837,1073.9667140107958,1085.1182975808022,1088.769950108636,1089.781001091431,1094.491851676277,1088.0574133226453,1080.2272289944538,1084.8624012950984,1086.1414629645362,1099.2176818722812,1096.2473762726818,1111.1116658744477,1117.878856402368,1124.9206936976636,1131.2179048428543,1135.8189799415552,1134.7219285691351,1136.791978018883,1128.4974259488677,1134.2274453063742,1134.4917471913052,1145.3746999952652,1146.1322030643923,1156.2751029239707,1162.6812796418103,1173.898492048129,1185.7517951377692,1183.6152063500576,1183.400672485719,1175.5667277986918,1177.15275431984,1182.774146901943,1196.1173883943427,1200.0327135798505,1192.162899868841,1177.4536074115067,1184.8151469439856,1197.2355392063732,1214.89576878048,1230.2475170507134,1228.1298057831402,1236.3511859646987,1235.0969118266637,1249.6379370482437,1242.127474335481,1249.3299755473645,1267.7703282432435,1299.2152062591335,1331.6908883008923,1376.6687732936764,1423.0354423359818,1458.1409982734333,1481.6946430511405,1468.9790153875992,1488.669355640942,1482.7706353755432,1512.836264509691,1530.5408940045306,1574.0819810880644,1619.860110980978,1641.9975842943438,1654.3869247406797,1668.4325862715193,1664.671544182137,1655.6771205687153,1629.9407823748477,1635.0536050512635,1627.1501224346962,1636.2520677936288,1633.5858324312103,1662.9656920550324,1683.5423494113832,1696.7349872820712,1698.4811558337783,1701.221178541661,1702.4774112906211,1684.3820805714586,1663.8694461740545,1656.5878245609706,1672.215534778552,1690.030586729326,1701.7621546239202,1724.1224420646754,1730.6783827269512,1739.5017360047627,1742.23823978293,1760.1058002412312,1781.2670351796394,1778.7550385167776
